排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
1,NousResearch/hermes-agent,121500,持平,通用 AI Agent / 自主执行框架,Apache-2.0,场景：通用自主 agent 与多步骤任务执行。能解决什么问题：把规划、工具调用和连续执行串起来，减少只能问答不能落地的问题。适合做什么：研究代理、自动化助手和长链路任务执行。
2,forrestchang/andrej-karpathy-skills,118800,持平,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
3,anthropics/claude-code,116500,上升25,AI 编码助手 / Claude Code 能力增强,MIT,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
4,anthropics/skills,114000,新上榜,Agent 技能包 / Prompt 与工具集合,未知 / 未声明,场景：技能沉淀、提示模板与工具复用。能解决什么问题：把常见任务模式和工具接入方式标准化，减少每次从零组织 prompt 和流程的成本。适合做什么：团队技能库、提示模板沉淀和 agent 能力扩展。
5,obra/superpowers,112000,上升32,AI 编码助手 / Claude Code 能力增强,MIT,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
6,microsoft/markitdown,110500,下降3,文档解析 / PDF 与结构化抽取,MIT,场景：文档、PDF 与网页内容结构化处理。能解决什么问题：把复杂文档转换成模型可消费的数据，减少手工整理和格式兼容问题。适合做什么：RAG 数据准备、文档问答和资料抽取。
7,thedotmack/claude-mem,108500,下降3,Agent 记忆 / 长上下文记忆,MIT,场景：长期记忆与上下文回注。能解决什么问题：缓解模型会话短记忆、历史偏好丢失和长期任务断档的问题。适合做什么：长期助理、持续协作和多轮复杂任务。
8,virattt/ai-hedge-fund,106000,上升11,量化 / 金融 AI 代理,MIT,场景：金融研究与量化 agent。能解决什么问题：让资讯整理、研究协作和投资分析自动化，减少人工盯盘和信息整合成本。适合做什么：投研助手、策略研究和市场情报汇总。
9,multica-ai/multica,104500,下降4,AI Agent / 工作流编排,未知 / 未声明,场景：agent 编排与多步骤流程自动化。能解决什么问题：把检索、思考、执行和校验串成稳定流程，减少单轮调用不可靠的问题。适合做什么：研究流程、业务自动化和复杂任务编排。
10,firecrawl/open-lovable,111000,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
11,shanraisshan/claude-code-best-practice,110000,上升41,AI 编码助手 / Claude Code 能力增强,MIT,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
12,HKUDS/DeepTutor,109000,下降3,AI Agent / 工作流编排,未知 / 未声明,场景：agent 编排与多步骤流程自动化。能解决什么问题：把检索、思考、执行和校验串成稳定流程，减少单轮调用不可靠的问题。适合做什么：研究流程、业务自动化和复杂任务编排。
13,OpenBMB/VoxCPM,108000,下降5,语音 / TTS / STT,未知 / 未声明,场景：语音生成、识别与语音交互。能解决什么问题：降低配音、转写和语音体验搭建成本，减少人工录制与多模型拼装。适合做什么：配音、语音助手和语音内容生产。
14,coleam00/Archon,107000,下降4,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
15,bytedance/deer-flow,106000,下降4,AI 工作流 / Agent 编排,MIT,场景：agent 工作流与流程编排。能解决什么问题：让多步骤任务更可重复、可追踪，减少组件分散和执行不稳定。适合做什么：自动研究、内容处理和内部流程自动化。
16,firecrawl/firecrawl,105000,下降4,Agent 抓取 / 外部信息收集,AGPL-3.0,场景：网页抓取与外部信息收集。能解决什么问题：把网页和外部数据源转换成 agent 可用输入，减少脏数据和采集链路复杂度。适合做什么：RAG 数据建设、竞品监控和情报收集。
17,Lordog/dive-into-llms,104000,持平,其他 AI 应用,未知 / 未声明,场景：通用 AI 学习与应用实践。能解决什么问题：帮助快速理解新模型、新流程和新工具，减少从零摸索的成本。适合做什么：学习、教学和快速实验。
18,jamiepine/voicebox,103000,下降4,文本转语音 / TTS,MIT,场景：文本转语音与音色生成。能解决什么问题：让文本快速变成自然语音，减少人工配音和批量语音生产成本。适合做什么：播报、配音、数字人和内容创作。
19,google/magika,102000,下降4,视觉 / OCR / 多模态,Apache-2.0,场景：视觉理解、OCR 与多模态输入处理。能解决什么问题：让图片、文件和非结构化输入可被模型稳定识别和处理，减少人工转录。适合做什么：OCR、文件分类和多模态应用。
20,lsdefine/GenericAgent,101000,下降4,AI Agent / 工作流编排,未知 / 未声明,场景：agent 编排与多步骤流程自动化。能解决什么问题：把检索、思考、执行和校验串成稳定流程，减少单轮调用不可靠的问题。适合做什么：研究流程、业务自动化和复杂任务编排。
21,vercel-labs/open-agents,100000,下降4,AI Agent / 工作流编排,未知 / 未声明,场景：agent 编排与多步骤流程自动化。能解决什么问题：把检索、思考、执行和校验串成稳定流程，减少单轮调用不可靠的问题。适合做什么：研究流程、业务自动化和复杂任务编排。
22,rowboatlabs/rowboat,99000,下降4,Agent 记忆 / 长上下文记忆,未知 / 未声明,场景：长期记忆与上下文回注。能解决什么问题：缓解模型会话短记忆、历史偏好丢失和长期任务断档的问题。适合做什么：长期助理、持续协作和多轮复杂任务。
23,ChromeDevTools/chrome-devtools-mcp,98000,下降3,MCP Server / MCP 工具链,Apache-2.0,场景：MCP 工具接入与浏览器/系统能力扩展。能解决什么问题：把外部工具能力标准化接给模型，减少每个 agent 单独接系统的成本。适合做什么：浏览器代理、工具层建设和系统集成。
24,openai/openai-agents-python,97000,下降3,AI Agent / 工作流编排,MIT,场景：agent 编排与多步骤流程自动化。能解决什么问题：把检索、思考、执行和校验串成稳定流程，减少单轮调用不可靠的问题。适合做什么：研究流程、业务自动化和复杂任务编排。
25,anomalyco/opencode,96000,下降3,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
26,zai-org/Open-AutoGLM,95000,下降3,浏览器自动化 / Web Agent,未知 / 未声明,场景：浏览器任务执行与 Web agent。能解决什么问题：让模型真正操作网页、表单和页面状态，减少只能理解网页不能执行的问题。适合做什么：网页自动化、运营脚本和浏览器助手。
27,google/mcp,94000,下降3,MCP Server / MCP 工具链,Apache-2.0,场景：MCP 工具接入与浏览器/系统能力扩展。能解决什么问题：把外部工具能力标准化接给模型，减少每个 agent 单独接系统的成本。适合做什么：浏览器代理、工具层建设和系统集成。
28,xpzouying/xiaohongshu-mcp,93000,下降3,MCP Server / MCP 工具链,未知 / 未声明,场景：MCP 工具接入与浏览器/系统能力扩展。能解决什么问题：把外部工具能力标准化接给模型，减少每个 agent 单独接系统的成本。适合做什么：浏览器代理、工具层建设和系统集成。
29,Tencent/WeKnora,92000,下降3,RAG / 知识库 / 文档解析,未知 / 未声明,场景：企业知识库与检索增强生成。能解决什么问题：让模型回答基于真实资料，减少幻觉和知识接入门槛。适合做什么：企业问答、FAQ 和内部知识助手。
30,volcengine/OpenViking,91000,下降3,Agent 记忆 / 长上下文记忆,Apache-2.0,场景：长期记忆与上下文回注。能解决什么问题：缓解模型会话短记忆、历史偏好丢失和长期任务断档的问题。适合做什么：长期助理、持续协作和多轮复杂任务。
31,openai/symphony,90000,下降2,AI 自动化流程 / 内容或任务流水线,Apache-2.0,场景：任务流水线与内容自动化。能解决什么问题：把创作、执行和交付步骤串起来，减少重复手工操作。适合做什么：内容工厂、运营自动化和业务流程执行。
32,HKUDS/CLI-Anything,89000,下降2,AI 自动化流程 / 内容或任务流水线,MIT,场景：任务流水线与内容自动化。能解决什么问题：把创作、执行和交付步骤串起来，减少重复手工操作。适合做什么：内容工厂、运营自动化和业务流程执行。
33,BasedHardware/omi,88000,下降1,AIoT / 智能硬件,未知 / 未声明,场景：AI 硬件与边缘智能交互。能解决什么问题：让低成本设备具备语音、感知和模型能力，减少硬件侧 AI 接入难度。适合做什么：语音终端、智能设备和边缘助手。
34,EvoMap/evolver,87000,下降1,AI Agent / 工作流编排,未知 / 未声明,场景：agent 编排与多步骤流程自动化。能解决什么问题：把检索、思考、执行和校验串成稳定流程，减少单轮调用不可靠的问题。适合做什么：研究流程、业务自动化和复杂任务编排。
35,topoteretes/cognee,86000,下降1,Agent 记忆 / 长上下文记忆,未知 / 未声明,场景：长期记忆与上下文回注。能解决什么问题：缓解模型会话短记忆、历史偏好丢失和长期任务断档的问题。适合做什么：长期助理、持续协作和多轮复杂任务。
36,JuliusBrussee/caveman,85000,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
37,datawhalechina/hello-agents,84000,新上榜,AI Agent / 工作流编排,未知 / 未声明,场景：agent 编排与多步骤流程自动化。能解决什么问题：把检索、思考、执行和校验串成稳定流程，减少单轮调用不可靠的问题。适合做什么：研究流程、业务自动化和复杂任务编排。
38,addyosmani/agent-skills,83000,下降31,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
39,openclaw/openclaw,82000,下降3,自托管 AI 助手 / 本地代理,MIT,场景：私有部署 AI 助手与本地代理。能解决什么问题：增强数据可控性和内部系统接入能力，减少对公有云助手的依赖。适合做什么：内网问答、本地助手和私有化部署。
40,affaan-m/everything-claude-code,81000,下降5,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
41,rtk-ai/rtk,80000,上升9,AI 基础设施 / 运行与平台层,Apache-2.0,场景：AI 平台底座与运行时。能解决什么问题：统一模型、工具和服务接入，减少平台层重复建设和接口分散。适合做什么：AI 平台、统一接入层和应用底座。
42,shareAI-lab/learn-claude-code,79000,上升9,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,场景：AI 编码与工程协作。能解决什么问题：让代码生成、修改、测试和规范沉淀更稳定，减少提示词随机性和工程流程失控。适合做什么：日常开发、重构、测试补全和团队研发提效。
43,78/xiaozhi-esp32,78000,上升1,AIoT / 智能硬件,MIT,场景：AI 硬件与边缘智能交互。能解决什么问题：让低成本设备具备语音、感知和模型能力，减少硬件侧 AI 接入难度。适合做什么：语音终端、智能设备和边缘助手。
44,msitarzewski/agency-agents,77000,下降2,通用 AI Agent / 自主执行框架,MIT,场景：通用自主 agent 与多步骤任务执行。能解决什么问题：把规划、工具调用和连续执行串起来，减少只能问答不能落地的问题。适合做什么：研究代理、自动化助手和长链路任务执行。
45,garrytan/gstack,76000,下降2,AI 工作流 / Agent 编排,未知 / 未声明,场景：agent 工作流与流程编排。能解决什么问题：让多步骤任务更可重复、可追踪，减少组件分散和执行不稳定。适合做什么：自动研究、内容处理和内部流程自动化。
46,ultraworkers/claw-code,75000,下降6,AI 工作流 / Agent 编排,未知 / 未声明,场景：agent 工作流与流程编排。能解决什么问题：让多步骤任务更可重复、可追踪，减少组件分散和执行不稳定。适合做什么：自动研究、内容处理和内部流程自动化。
47,karpathy/autoresearch,74000,下降8,AI 工作流 / Agent 编排,未知 / 未声明,场景：agent 工作流与流程编排。能解决什么问题：让多步骤任务更可重复、可追踪，减少组件分散和执行不稳定。适合做什么：自动研究、内容处理和内部流程自动化。
48,FujiwaraChoki/MoneyPrinterV2,73000,下降10,AI 自动化流程 / 内容或任务流水线,AGPL-3.0,场景：任务流水线与内容自动化。能解决什么问题：把创作、执行和交付步骤串起来，减少重复手工操作。适合做什么：内容工厂、运营自动化和业务流程执行。
49,Panniantong/Agent-Reach,72000,上升4,搜索 Agent / SEO / 发现,MIT,场景：搜索增强与信息发现。能解决什么问题：提高信息触达和搜索效率，减少人工筛选与长期跟踪成本。适合做什么：SEO、线索发现和主题研究。
50,moeru-ai/airi,71000,下降1,数字人 / 陪伴型 AI,AGPL-3.0,场景：数字人、角色陪伴与持续对话。能解决什么问题：增强人格感和长期互动体验，减少通用问答的单薄感。适合做什么：陪伴产品、虚拟角色和互动式应用。
51,VoltAgent/awesome-openclaw-skills,70000,下降3,AI 工具与技能清单,未知 / 未声明,场景：技能库与工具资源沉淀。能解决什么问题：帮助快速复用方法、模板和技能，减少从零探索成本。适合做什么：技能管理、方法论沉淀和团队复用。
52,VoltAgent/awesome-design-md,69000,新上榜,面向 AI 编码的设计系统 / UI 规范,未知 / 未声明,场景：设计规范与 AI 生成前端协作。能解决什么问题：提升界面生成的一致性，减少 AI 出图/出代码风格漂移。适合做什么：设计到开发协同和前端规范沉淀。
53,paperclipai/paperclip,68000,下降7,AI 自动化流程 / 内容或任务流水线,MIT,场景：任务流水线与内容自动化。能解决什么问题：把创作、执行和交付步骤串起来，减少重复手工操作。适合做什么：内容工厂、运营自动化和业务流程执行。
54,gsd-build/get-shit-done,67000,下降9,AI 自动化流程 / 内容或任务流水线,MIT,场景：任务流水线与内容自动化。能解决什么问题：把创作、执行和交付步骤串起来，减少重复手工操作。适合做什么：内容工厂、运营自动化和业务流程执行。
55,Crosstalk-Solutions/project-nomad,66000,下降8,自托管 AI 助手 / 本地代理,MIT,场景：私有部署 AI 助手与本地代理。能解决什么问题：增强数据可控性和内部系统接入能力，减少对公有云助手的依赖。适合做什么：内网问答、本地助手和私有化部署。
56,koala73/worldmonitor,65000,下降15,监控 / 趋势跟踪代理,NOASSERTION,场景：监控、告警与趋势跟踪。能解决什么问题：持续跟踪外部变化并筛出重点，减少人工盯盘和手工汇总。适合做什么：情报监测、运营观察和异常提醒。
57,AstrBotDevs/AstrBot,64000,下降3,聊天机器人 / 角色陪伴,AGPL-3.0,场景：聊天机器人与多渠道对话。能解决什么问题：提升聊天入口覆盖和互动持续性，减少单点机器人维护成本。适合做什么：群助手、私聊问答和角色聊天。
58,qwibitai/nanoclaw,63000,下降2,Agent 记忆 / 长上下文记忆,MIT,场景：长期记忆与上下文回注。能解决什么问题：缓解模型会话短记忆、历史偏好丢失和长期任务断档的问题。适合做什么：长期助理、持续协作和多轮复杂任务。
59,tobi/qmd,62000,下降2,搜索 Agent / SEO / 发现,MIT,场景：搜索增强与信息发现。能解决什么问题：提高信息触达和搜索效率，减少人工筛选与长期跟踪成本。适合做什么：SEO、线索发现和主题研究。
60,santifer/career-ops,61000,下降2,AI 求职 / 简历与职业运营,MIT,场景：求职材料与职业运营自动化。能解决什么问题：减少简历改写、岗位筛选和投递管理的重复工作。适合做什么：求职助手、岗位申请和职业材料生成。
61,nikopueringer/CorridorKey,60000,下降2,AI 图像编辑 / 修图,未知 / 未声明,场景：图片增强、修图与后处理。能解决什么问题：提升图片处理效率，减少重复手工修图和素材整理成本。适合做什么：修图、科研图片处理和视觉素材优化。
62,milla-jovovich/mempalace,59000,下降2,Agent 记忆 / 长上下文记忆,未知 / 未声明,场景：长期记忆与上下文回注。能解决什么问题：缓解模型会话短记忆、历史偏好丢失和长期任务断档的问题。适合做什么：长期助理、持续协作和多轮复杂任务。
63,siddharthvaddem/openscreen,58000,下降2,视频制作 / 演示视频生成,MIT,场景：演示视频与轻量剪辑。能解决什么问题：降低录屏、讲解和视频整理成本，减少复杂后期工具依赖。适合做什么：产品演示、培训视频和素材整理。
64,calesthio/Crucix,57000,下降2,监控 / 趋势跟踪代理,未知 / 未声明,场景：监控、告警与趋势跟踪。能解决什么问题：持续跟踪外部变化并筛出重点，减少人工盯盘和手工汇总。适合做什么：情报监测、运营观察和异常提醒。
65,jundot/omlx,56000,下降2,本地 LLM / 本地推理,Apache-2.0,场景：本地模型运行与轻量推理。能解决什么问题：降低云端调用依赖和隐私顾虑，减少本地部署门槛。适合做什么：离线助手、本地实验和私有化推理。
66,D4Vinci/Scrapling,55000,下降2,Agent 抓取 / 外部信息收集,MIT,场景：网页抓取与外部信息收集。能解决什么问题：把网页和外部数据源转换成 agent 可用输入，减少脏数据和采集链路复杂度。适合做什么：RAG 数据建设、竞品监控和情报收集。
67,hacksider/Deep-Live-Cam,54000,下降2,AI 视频生成 / 自动剪辑,MIT,场景：视频生成与自动剪辑。能解决什么问题：缩短脚本到成片的链路，减少视频制作和后期成本。适合做什么：短视频生产、推广视频和自动剪辑。
68,TauricResearch/TradingAgents,53000,下降2,量化 / 金融 AI 代理,MIT,场景：金融研究与量化 agent。能解决什么问题：让资讯整理、研究协作和投资分析自动化，减少人工盯盘和信息整合成本。适合做什么：投研助手、策略研究和市场情报汇总。
69,agentscope-ai/CoPaw,52000,下降2,聊天机器人 / 角色陪伴,Apache-2.0,场景：聊天机器人与多渠道对话。能解决什么问题：提升聊天入口覆盖和互动持续性，减少单点机器人维护成本。适合做什么：群助手、私聊问答和角色聊天。
70,karpathy/nanochat,51000,下降2,聊天机器人 / 角色陪伴,MIT,场景：聊天机器人与多渠道对话。能解决什么问题：提升聊天入口覆盖和互动持续性，减少单点机器人维护成本。适合做什么：群助手、私聊问答和角色聊天。
71,HKUDS/nanobot,50000,下降2,聊天机器人 / 角色陪伴,MIT,场景：聊天机器人与多渠道对话。能解决什么问题：提升聊天入口覆盖和互动持续性，减少单点机器人维护成本。适合做什么：群助手、私聊问答和角色聊天。
72,jackwener/opencli,49000,下降2,浏览器自动化 / Web Agent,MIT,场景：浏览器任务执行与 Web agent。能解决什么问题：让模型真正操作网页、表单和页面状态，减少只能理解网页不能执行的问题。适合做什么：网页自动化、运营脚本和浏览器助手。
73,opendataloader-project/opendataloader-pdf,48000,下降2,文档解析 / PDF 与结构化抽取,Apache-2.0,场景：文档、PDF 与网页内容结构化处理。能解决什么问题：把复杂文档转换成模型可消费的数据，减少手工整理和格式兼容问题。适合做什么：RAG 数据准备、文档问答和资料抽取。
74,pascalorg/editor,47000,下降2,3D 生成 / CAD / 场景生成,MIT,场景：3D、CAD 与空间内容生成。能解决什么问题：降低三维内容生成与修改门槛，减少建模和试错成本。适合做什么：3D 原型、CAD 辅助和空间内容创作。
