排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
1,Lum1104/Understand-Anything,132000,上升25,RAG / 知识库 / 文档解析,未知 / 未声明,Understand-Anything 面向RAG、知识库与文档理解，重点解决资料、文档和知识库难以结构化接入模型的问题，适合用于企业知识库、文档问答、研究资料检索和内部助手。
2,affaan-m/ECC,131300,上升16,Agent 记忆 / 长上下文记忆,未知 / 未声明,ECC 面向长期记忆、上下文管理与知识回注，重点解决会话结束后上下文丢失、长期任务难以连续推进的问题，适合用于长期助理、代码库记忆、客户交互和持续项目协作。
3,hardikpandya/stop-slop,130600,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,stop-slop 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
4,Leonxlnx/taste-skill,129900,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,taste-skill 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
5,harry0703/MoneyPrinterTurbo,129200,新上榜,AI 视频生成 / 自动剪辑,MIT,MoneyPrinterTurbo 面向视频生成、视觉内容生产与自动剪辑，重点解决视频内容从创意到成片链路长、后期成本高的问题，适合用于短视频、营销素材、演示视频和生成式视频研究。
6,obra/superpowers,128500,下降3,AI 编码助手 / Claude Code 能力增强,MIT,superpowers 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
7,colbymchenry/codegraph,127800,下降6,RAG / 知识库 / 文档解析,未知 / 未声明,codegraph 面向RAG、知识库与文档理解，重点解决资料、文档和知识库难以结构化接入模型的问题，适合用于企业知识库、文档问答、研究资料检索和内部助手。
8,anthropics/knowledge-work-plugins,127100,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,knowledge-work-plugins 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
9,mukul975/Anthropic-Cybersecurity-Skills,126400,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,Anthropic-Cybersecurity-Skills 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
10,anthropics/claude-plugins-official,125700,下降5,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,claude-plugins-official 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
11,multica-ai/andrej-karpathy-skills,125000,下降4,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,andrej-karpathy-skills 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
12,revfactory/harness,124300,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,harness 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
13,dotnet/skills,123600,下降2,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,skills 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
14,manaflow-ai/cmux,122900,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,cmux 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
15,shiyu-coder/Kronos,122200,新上榜,量化 / 金融 AI 代理,未知 / 未声明,Kronos 面向金融研究、量化分析与投研 agent，重点解决金融信息整理、市场分析和投研流程人工成本高的问题，适合用于投研助手、市场情报、策略实验和金融分析自动化。
16,Alishahryar1/free-claude-code,121500,上升43,语音 / TTS / STT,未知 / 未声明,free-claude-code 面向语音生成、识别与实时音频交互，重点解决配音、转写和语音交互搭建成本高的问题，适合用于语音助手、数字人配音、播客、会议转写和内容生产。
17,unclecode/crawl4ai,120800,新上榜,Agent 抓取 / 外部信息收集,Apache-2.0,crawl4ai 面向网页抓取与外部信息收集，重点解决网页数据不适合直接进入模型和知识库的问题，适合用于RAG 数据建设、竞品监控、网页研究和情报采集。
18,multica-ai/multica,120100,下降1,AI Agent / 工作流编排,未知 / 未声明,multica 面向多步骤 agent 与业务流程编排，重点解决多步骤任务中规划、工具调用和执行校验难以串联的问题，适合用于研究流程、业务自动化、多 agent 协作和复杂任务执行。
19,OpenMOSS/MOSS-TTS,119400,新上榜,语音 / TTS / STT,Apache-2.0,MOSS-TTS 面向语音生成、识别与实时音频交互，重点解决配音、转写和语音交互搭建成本高的问题，适合用于语音助手、数字人配音、播客、会议转写和内容生产。
20,ChromeDevTools/chrome-devtools-mcp,118700,下降8,MCP Server / MCP 工具链,Apache-2.0,chrome-devtools-mcp 面向MCP 工具接入与 agent 能力扩展，重点解决模型连接外部工具、数据源和业务系统时缺少统一协议的问题，适合用于企业工具层、agent 集成、浏览器代理和自动化系统。
21,earendil-works/pi,118000,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,pi 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
22,p-e-w/heretic,117300,新上榜,AI 基础设施 / 运行与平台层,未知 / 未声明,heretic 面向AI 应用运行、平台和基础设施层，重点解决模型、工具、数据和服务接入分散的问题，适合用于AI 平台、统一接入层、应用底座和生产部署。
23,EveryInc/compound-engineering-plugin,116600,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,compound-engineering-plugin 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
24,anthropics/skills,115900,上升26,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,skills 面向AI 编码与工程协作，重点解决仓库上下文理解不稳、任务拆解和验证流程难复用的问题，适合用于代码生成、重构、调试、审查和团队研发提效。
