排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
1,affaan-m/ECC,132000,上升1,Agent 记忆 / 长上下文记忆,未知 / 未声明,ECC 面向长期记忆、上下文管理与知识回注，解决会话结束后上下文丢失、长期任务难连续推进的问题，适合用于长期助理、代码库记忆、客户交互和项目协作。
2,chopratejas/headroom,131300,新上榜,AI 基础设施 / 运行与平台层,未知 / 未声明,headroom 面向 AI 应用运行、工具链或平台层，解决模型、工具、数据和业务流程接入分散的问题，适合用于原型验证、系统集成和生产化落地。
3,NousResearch/hermes-agent,130600,上升54,通用 AI Agent / 自主执行框架,Apache-2.0,hermes-agent 面向通用自主 agent 与任务执行，解决规划、工具调用和连续执行难稳定落地的问题，适合用于研究代理、个人助理、业务自动化和长链路任务。
4,PaddlePaddle/PaddleOCR,129900,新上榜,视觉 / OCR / 多模态,未知 / 未声明,PaddleOCR 面向视觉理解、OCR 与多模态处理，解决图片、文档扫描件和非结构化视觉内容难被模型消费的问题，适合用于 OCR、票据识别、文档解析和多模态应用。
5,github/spec-kit,129200,上升53,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,spec-kit 面向 AI 编码与工程协作，解决需求、规格、实现与验证之间缺少结构化流程的问题，适合用于代码生成、重构、评审、测试补全和团队研发提效。
6,microsoft/markitdown,128500,上升59,文档解析 / PDF 与结构化抽取,MIT,markitdown 面向 PDF、Office 与网页内容结构化，解决复杂文件难转成模型可消费文本的问题，适合用于 RAG 数据准备、文档问答、资料抽取和知识清洗。
7,Open-LLM-VTuber/Open-LLM-VTuber,127800,新上榜,数字人 / 陪伴型 AI,未知 / 未声明,Open-LLM-VTuber 面向数字人和实时交互角色，解决模型缺少人格化表达和多模态互动体验的问题，适合用于虚拟主播、陪伴产品、直播互动和角色助手。
8,NVIDIA/cosmos,127100,新上榜,机器人 / Embodied AI,未知 / 未声明,cosmos 面向具身智能和世界模型，解决机器人与物理世界交互中的数据、仿真和生成问题，适合用于机器人训练、自动驾驶、具身智能研究和仿真平台。
9,lfnovo/open-notebook,126400,新上榜,RAG / 知识库 / 文档解析,未知 / 未声明,open-notebook 面向 NotebookLM 类知识工作流，解决资料导入、文档问答和研究笔记组织效率低的问题，适合用于个人知识库、研究助手和资料分析。
10,harry0703/MoneyPrinterTurbo,125700,下降5,AI 视频生成 / 自动剪辑,MIT,MoneyPrinterTurbo 面向 AI 视频生成与自动剪辑，解决内容从选题、生成到素材组合链路长的问题，适合用于短视频生产、自媒体、营销素材和内容工厂。
11,nesquena/hermes-webui,125000,新上榜,自托管 AI 助手 / 本地代理,未知 / 未声明,hermes-webui 面向自托管 AI 助手与本地代理，解决模型能力需要私有界面和本地控制台的问题，适合用于内网助手、个人工作台和本地 AI 应用。
12,supermemoryai/supermemory,124300,新上榜,Agent 记忆 / 长上下文记忆,Apache-2.0,supermemory 面向长期记忆和信息检索，解决 AI 应用无法持续记住用户、资料和历史上下文的问题，适合用于个人助理、客户交互和知识协作。
