排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
1,addyosmani/agent-skills,132000,持平,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,agent-skills 面向AI 编码助手 / Claude Code 能力增强场景，适合AI项目验证、工具集成和业务落地。
2,phuryn/pm-skills,131300,持平,Agent 技能包 / Prompt 与工具集合,未知 / 未声明,pm-skills 面向Agent 技能包 / Prompt 与工具集合场景，适合AI项目验证、工具集成和业务落地。
3,maziyarpanahi/openmed,130600,持平,医疗 / 健康 AI,未知 / 未声明,openmed 面向医疗 / 健康 AI场景，适合AI项目验证、工具集成和业务落地。
4,NVIDIA/SkillSpector,129900,上升1,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,SkillSpector 面向AI 编码助手 / Claude Code 能力增强场景，适合AI项目验证、工具集成和业务落地。
5,obra/superpowers,129200,下降1,AI 编码助手 / Claude Code 能力增强,MIT,superpowers 面向AI 编码助手 / Claude Code 能力增强场景，适合AI项目验证、工具集成和业务落地。
6,mvanhorn/last30days-skill,128500,持平,Agent 抓取 / 外部信息收集,未知 / 未声明,last30days-skill 面向Agent 抓取 / 外部信息收集场景，适合AI项目验证、工具集成和业务落地。
7,RyanCodrai/turbovec,127800,持平,RAG / 知识库 / 文档解析,未知 / 未声明,turbovec 面向RAG / 知识库 / 文档解析场景，适合AI项目验证、工具集成和业务落地。
8,MemPalace/mempalace,127100,上升4,Agent 记忆 / 长上下文记忆,未知 / 未声明,mempalace 面向Agent 记忆 / 长上下文记忆场景，适合AI项目验证、工具集成和业务落地。
9,opencv/opencv,126400,持平,视觉 / OCR / 多模态,Apache-2.0,opencv 面向视觉 / OCR / 多模态场景，适合AI项目验证、工具集成和业务落地。
10,CopilotKit/CopilotKit,125700,下降2,AI Agent / 工作流编排,未知 / 未声明,CopilotKit 面向AI Agent / 工作流编排场景，适合AI项目验证、工具集成和业务落地。
11,NousResearch/hermes-agent,125000,持平,通用 AI Agent / 自主执行框架,Apache-2.0,hermes-agent 面向通用 AI Agent / 自主执行框架场景，适合AI项目验证、工具集成和业务落地。
12,google/skills,124300,上升1,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,skills 面向AI 编码助手 / Claude Code 能力增强场景，适合AI项目验证、工具集成和业务落地。
13,Leonxlnx/taste-skill,123600,上升2,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,taste-skill 面向AI 编码助手 / Claude Code 能力增强场景，适合AI项目验证、工具集成和业务落地。
14,roboflow/supervision,122900,下降4,视觉 / OCR / 多模态,MIT,supervision 面向视觉 / OCR / 多模态场景，适合AI项目验证、工具集成和业务落地。
15,Panniantong/Agent-Reach,122200,上升1,Agent 抓取 / 外部信息收集,未知 / 未声明,Agent-Reach 面向Agent 抓取 / 外部信息收集场景，适合AI项目验证、工具集成和业务落地。
16,danielmiessler/Personal_AI_Infrastructure,121500,下降2,AI 基础设施 / 运行与平台层,未知 / 未声明,Personal_AI_Infrastructure 面向AI 基础设施 / 运行与平台层场景，适合AI项目验证、工具集成和业务落地。
17,lfnovo/open-notebook,120800,上升47,RAG / 知识库 / 文档解析,未知 / 未声明,open-notebook 面向RAG / 知识库 / 文档解析场景，适合AI项目验证、工具集成和业务落地。
18,santifer/career-ops,120100,持平,AI 求职 / 简历与职业运营,未知 / 未声明,career-ops 面向AI 求职 / 简历与职业运营场景，适合AI项目验证、工具集成和业务落地。
19,aaif-goose/goose,119400,下降2,通用 AI Agent / 自主执行框架,未知 / 未声明,goose 面向通用 AI Agent / 自主执行框架场景，适合AI项目验证、工具集成和业务落地。
20,yikart/AiToEarn,118700,下降1,AI Agent / 工作流编排,未知 / 未声明,AiToEarn 面向AI Agent / 工作流编排场景，适合AI项目验证、工具集成和业务落地。
21,msitarzewski/agency-agents,118000,下降1,AI Agent / 工作流编排,MIT,agency-agents 面向AI Agent / 工作流编排场景，适合AI项目验证、工具集成和业务落地。
22,alchaincyf/zhangxuefeng-skill,117300,持平,Agent 技能包 / Prompt 与工具集合,未知 / 未声明,zhangxuefeng-skill 面向Agent 技能包 / Prompt 与工具集合场景，适合AI项目验证、工具集成和业务落地。
23,hexo-ai/sia,116600,持平,AI Agent / 工作流编排,未知 / 未声明,sia 面向AI Agent / 工作流编排场景，适合AI项目验证、工具集成和业务落地。
24,affaan-m/ECC,115900,上升2,Agent 记忆 / 长上下文记忆,未知 / 未声明,ECC 面向Agent 记忆 / 长上下文记忆场景，适合AI项目验证、工具集成和业务落地。
25,kenn-io/agentsview,115200,下降4,AI 可观测 / LLM 评测,未知 / 未声明,agentsview 面向AI 可观测 / LLM 评测场景，适合AI项目验证、工具集成和业务落地。
26,microsoft/markitdown,114500,下降2,RAG / 知识库 / 文档解析,MIT,markitdown 面向RAG / 知识库 / 文档解析场景，适合AI项目验证、工具集成和业务落地。
27,chopratejas/headroom,113800,持平,Agent 记忆 / 长上下文记忆,未知 / 未声明,headroom 面向Agent 记忆 / 长上下文记忆场景，适合AI项目验证、工具集成和业务落地。
28,harry0703/MoneyPrinterTurbo,113100,下降3,AI 视频生成 / 自动剪辑,MIT,MoneyPrinterTurbo 面向AI 视频生成 / 自动剪辑场景，适合AI项目验证、工具集成和业务落地。
29,nesquena/hermes-webui,112400,下降1,自托管 AI 助手 / 本地代理,未知 / 未声明,hermes-webui 面向自托管 AI 助手 / 本地代理场景，适合AI项目验证、工具集成和业务落地。
30,D4Vinci/Scrapling,111700,持平,Agent 抓取 / 外部信息收集,未知 / 未声明,Scrapling 面向Agent 抓取 / 外部信息收集场景，适合AI项目验证、工具集成和业务落地。
31,supermemoryai/supermemory,111000,下降2,Agent 记忆 / 长上下文记忆,Apache-2.0,supermemory 面向Agent 记忆 / 长上下文记忆场景，适合AI项目验证、工具集成和业务落地。
32,PaddlePaddle/PaddleOCR,110300,下降1,视觉 / OCR / 多模态,Apache-2.0,PaddleOCR 面向视觉 / OCR / 多模态场景，适合AI项目验证、工具集成和业务落地。
33,anthropics/claude-code,109600,下降1,AI 编码助手 / Claude Code 能力增强,MIT,claude-code 面向AI 编码助手 / Claude Code 能力增强场景，适合AI项目验证、工具集成和业务落地。
