排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
1,calesthio/OpenMontage,132000,新上榜,AI 视频生成 / Agent 工作流,未知 / 未声明,OpenMontage 是面向 agent 的开源视频制作系统，把脚本规划、素材处理、剪辑、配音和导出组织为多条可调用流水线；适合让 Claude Code、Codex 等编码代理完成短视频、营销片和批量内容生产。
2,google-labs-code/design.md,127588,新上榜,AI 编码助手 / 设计系统,未知 / 未声明,design.md 定义一种让 coding agent 持久理解品牌视觉和设计系统的结构化格式；适合把颜色、字体、组件和设计原则交给 Claude Code、Codex 等代理，减少生成界面的风格漂移。
3,mukul975/Anthropic-Cybersecurity-Skills,126246,上升63,AI 安全 / Agent 技能,Apache-2.0,Anthropic-Cybersecurity-Skills 将数百项安全任务映射到 MITRE、NIST 等框架，并封装为可被 Claude Code、Copilot、Codex 等调用的技能；适合安全审计、威胁建模和攻防流程自动化。
4,palmier-io/palmier-pro,122865,新上榜,AI 视频生成 / 视频编辑,未知 / 未声明,palmier-pro 是为 AI 工作流设计的 macOS 视频编辑器，重点把模型生成素材、时间线编辑和 MCP 工具调用结合起来；适合 AI 视频创作者、自动剪辑流程和本地内容生产。
5,garrytan/gstack,122637,上升77,AI 工作流 / Agent 技能,未知 / 未声明,gstack 将 CEO、设计、工程管理、发布、文档和 QA 等角色封装为一组 Claude Code 工具；适合把产品需求、开发、测试和发布串成可重复的 agentic engineering 流程。
6,xbtlin/ai-berkshire,122466,新上榜,量化 / 金融 AI 代理,未知 / 未声明,ai-berkshire 把价值投资方法论组织为 Claude Code 多 agent 研究框架，通过角色并行分析和交叉质疑完成公司研究；适合基本面分析、投资备忘录和长期价值评估。
7,ZhuLinsen/daily_stock_analysis,121269,新上榜,量化 / 金融 AI 代理,MIT,daily_stock_analysis 用 LLM 汇总多市场行情、实时新闻和技术指标，自动生成决策看板与推送；适合个人投研、每日复盘、个股跟踪和低成本定时金融分析。
8,JCodesMore/ai-website-cloner-template,120470,新上榜,AI 编码助手 / 网站克隆,未知 / 未声明,ai-website-cloner-template 让 coding agent 通过一条命令分析并复刻网站结构与界面；适合前端原型、落地页复刻、设计迁移和网页生成流程，但应遵守目标站点版权与授权要求。
9,jamiepine/voicebox,118164,新上榜,语音 / TTS / 音色克隆,MIT,voicebox 是可自托管的 AI 语音工作室，支持音色克隆、口述转写和语音内容生成；适合播客、视频配音、数字人、无障碍语音输入和本地隐私场景。
10,headroomlabs-ai/headroom,117947,上升17,Agent 上下文压缩 / AI 基础设施,未知 / 未声明,headroom 在日志、工具输出、文件和 RAG 片段进入模型前进行压缩，在尽量保持答案质量的同时降低 token 消耗；适合长链路 agent、MCP 服务、代码代理和高成本上下文场景。
11,DeusData/codebase-memory-mcp,117721,新上榜,MCP / 代码知识图谱,未知 / 未声明,codebase-memory-mcp 将代码库快速索引为持久知识图谱，并通过 MCP 提供低延迟查询；适合大型仓库理解、跨会话代码记忆、影响分析和减少 coding agent 的 token 与工具调用。
12,interviewstreet/hiring-agent,112998,新上榜,招聘 / 简历 AI Agent,未知 / 未声明,hiring-agent 使用 AI 对简历进行解析、匹配、评分和候选人排序；适合招聘初筛、岗位匹配、批量简历处理和可解释的人才评估工作流。
13,koala73/worldmonitor,112355,新上榜,监控 / 趋势跟踪代理,NOASSERTION,worldmonitor 汇聚新闻、地缘事件和基础设施状态，并用 AI 形成实时态势看板；适合 OSINT、风险监测、市场情报、全球事件跟踪和管理层简报。
14,revfactory/harness,111471,上升20,AI Agent / 技能编排,未知 / 未声明,harness 是用于设计领域专属 agent 团队的元技能，可定义角色、职责和所需技能并生成执行结构；适合复杂项目拆解、多 agent 协作和团队化任务自动化。
15,shanraisshan/claude-code-best-practice,109761,新上榜,AI 编码助手 / Claude Code 最佳实践,MIT,claude-code-best-practice 将 Claude Code 从“氛围编程”推进到规范化 agent 工程，提供上下文、任务拆分和验证方法；适合团队 SOP、仓库规则和编码代理落地。
16,aws/agent-toolkit-for-aws,108963,新上榜,MCP / 云端 Agent 工具链,未知 / 未声明,agent-toolkit-for-aws 提供 AWS 官方支持的 MCP servers、skills 和 plugins，让 agent 能访问云服务与开发能力；适合云资源管理、架构生成、运维自动化和 AWS 开发助手。
