排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
1,deepseek-ai/deepseek-harness,132000,新上榜,AI 编码助手 / Coding Agent Harness,MIT,DeepSeek Harness 是插件化 agent harness，以“Everything is a Plugin”组织模型、工具、会话和扩展能力；适合搭建 coding agent、开发 DSH 插件、执行仓库修改与持续终端任务。
2,cathrynlavery/diagram-design,129998,新上榜,Agent Skills / 图表与架构设计,MIT,diagram-design 为 Claude Code 提供 29 种编辑部风格图表与架构图类型，直接输出自包含 HTML + SVG，强调清晰排版而非模板化 Mermaid；适合技术架构图、报告插图、产品说明和演示材料。
3,semantica-agi/semantica,126359,新上榜,Agent Context / GraphRAG 与治理,MIT,Semantica 是图原生的上下文与可审计 AI 基础设施，把 ontology、provenance、context graph、GraphRAG 和语义检索组合起来；适合构建可追溯知识层、Agent 上下文治理、决策审计与企业 GraphRAG。
4,mattpocock/skills,111016,持平,AI 编码助手 / Agent Skills,MIT,mattpocock/skills 收录作者在真实工程中使用的 Claude Code 与 Codex 技能，把开发方法和质量标准封装为可复用指令；适合 TypeScript 开发、代码审查、调试、重构和团队技能库建设。
5,PrimeIntellect-ai/prime-agent,109160,上升27,AI 编码助手 / 自改进 RLM Agent,MIT,Prime Agent 以持久 Python REPL、递归子代理和可持续改进的 harness 状态支持编码与研究任务，可在后台运行并保留目标、技能、记忆和计划；适合长周期研发、并行研究、自动评测和可复盘的自改进 Agent。
6,stablyai/orca,109014,上升35,AI 编码助手 / 多 Agent 工作台,MIT,Orca 是管理并行 coding agents 的桌面与移动工作台，可使用用户自己的模型订阅运行多名代理；适合任务分派、进度观察、多仓库并行开发和人机协同交付。
7,MiniMax-AI/MiniMax-H3,107671,新上榜,AI 视频 / 全模态生成模型,未知 / 未声明,MiniMax H3 是通用全模态生成系统，可理解文本、图片、视频和音频并生成带原生立体声音频的视频，支持最长 15 秒及 2K 再生成流程；仓库还提供提示词与视频生成 Skills，适合多模态视频创作和模型研究。
8,guillaumemeyer/watermarks-remover,107353,新上榜,AI 内容溯源 / 水印与元数据处理,MIT,watermarks-remover 面向多种 AI 内容来源处理 Unicode 文本标记、统计改写钩子以及 C2PA/文件元数据，覆盖 PNG、JPEG、SVG、PDF、DOCX、HTML、Markdown；适合研究 AI 内容溯源、元数据清理和内容处理管线。
9,earendil-works/pi,105302,上升84,AI 编码助手 / Agent 工具包,MIT,pi 提供统一 LLM API、agent loop、终端界面和 coding agent CLI，把模型、工具与代码库上下文连接起来；适合本地编程助手、脚本自动化、模型切换和自定义 agent 实验。
10,msitarzewski/agency-agents,94949,上升67,AI Agent / 工作流编排,MIT,agency-agents 提供覆盖前端、产品、设计、营销、社区和质量保障的专业 agent 角色，可按任务组合成虚拟团队；适合复杂项目拆解、多角色协作和业务流程自动化。
11,QwenLM/Qwen-MM-Plugins,94021,新上榜,多模态 / Agent 视觉插件,Apache-2.0,Qwen-MM-Plugins 旨在让通用 agent harness 原生具备多模态能力，把图片等视觉输入接入已有 Agent 工作流；适合为 coding agent、研究代理和工具型 Agent 增加图像理解、视觉问答及多模态任务入口。
12,paperclipai/paperclip,92556,新上榜,AI Agent / 企业 Agent 管理,MIT,Paperclip 是面向工作场景的开源 Agent 管理应用，用统一工作台组织多个 Agent、任务与执行状态；适合团队管理自主代理、分派工作、观察进度，并把 Agent 运行纳入日常项目协作。
13,macro-inc/macro,92263,新上榜,企业 AI 工作台 / 共享记忆,AGPL-3.0,Macro 把邮件、聊天、文档、任务、通话、CRM 与 Agent 放进同一工作区，并通过共享 AI memory 关联信息；适合知识工作团队统一沟通与业务资料、减少上下文切换，并让 Agent 基于跨应用历史持续协作。
14,spinabot/brigade,91677,新上榜,AI Agent / 多 Agent 运行框架,MIT,Brigade 面向个人与团队提供可扩展的多 Agent 运行环境，强调自主代理、工具协作和持续任务；适合组织多个专业 Agent 共同处理研究、开发和知识工作，并探索自改进式个人智能系统。
15,hugohe3/ppt-master,91091,新上榜,办公 AI / PowerPoint 生成,MIT,ppt-master 可把文档或主题生成真正可编辑的原生 PowerPoint，支持形状、转场、动画、数据图表、表格、演讲者备注语音以及自定义 .pptx 模板；适合自动制作汇报、方案、培训和数据型演示。
16,corsairdev/corsair,90798,新上榜,Agent 工具连接 / Integration Layer,未知 / 未声明,Corsair 定位为 Agent 的集成层，用统一方式把外部服务和工具能力接入代理工作流，减少每个 Agent 重复编写连接代码；适合构建需要访问 SaaS、业务 API 与多种工具的自动化 Agent。
17,Zeejay0/gathered-scenes-zine-skill,90505,新上榜,Agent Skills / AI 图像与 Zine 设计,自定义个人非商业许可证,Gathered Scenes Zine 是为 Codex 编写的生图 Skill 集，先理解照片中的主体、空间、色彩与情绪，再走“实景拼贴”或“影像蒸馏”路径生成纸刊式作品；适合照片再创作、海报、编辑插画和纸感视觉设计。
18,cactus-compute/needle,89919,新上榜,端侧 AI / Tiny Foundation Model,MIT,Needle 是约 14MB 的端侧基础模型，面向手机、可穿戴设备、智能家居和机器人等小型设备；适合探索低资源本地 AI、离线交互、嵌入式智能和对延迟、隐私或功耗敏感的应用。
19,ailyProject/aily-blockly,89333,新上榜,AI 编码助手 / 硬件开发 IDE,GPL-3.0,aily-blockly 是面向硬件开发的 AI IDE，支持 Arduino、MicroPython、ESP32、STM32、RP2040、nRF5x 等平台；适合用可视化与 AI 辅助方式完成嵌入式编程、原型验证、教育开发和 IoT 项目。
20,unslothai/unsloth,89040,新上榜,本地 LLM / 训练与推理,Apache-2.0,Unsloth 提供本地 UI 与工具链运行、训练和微调 LLM 及扩散模型，覆盖 Qwen、Kimi、MiniMax、Gemma、DeepSeek、FLUX 等模型；适合本地模型实验、低成本微调、私有部署与多模型工作站。
21,HKUDS/DeepTutor,88502,上升66,教育 / 个性化学习 Agent,Apache-2.0,DeepTutor 是面向终身学习的个性化教学 agent，将资料检索、知识讲解、练习生成和学习反馈组合成持续辅导流程；适合课程助教、自适应学习、研究型问答和个人知识训练。
22,zhaoxuya520/reverse-skill,83155,下降16,AI 安全 / 逆向分析 Agent Skills,MIT,reverse-skill 为 Claude Code、Codex、Cursor 等代理提供逆向与安全分析路由，根据 APK、ELF、JS、PCAP 或 CTF 任务选择工具、证据流程和报告模板；适合获授权的恶意样本分析、移动应用审计、逆向研究和安全演练。
23,firecrawl/pdf-inspector,82813,下降18,文档解析 / PDF 转 Markdown,MIT,pdf-inspector 是 Rust 编写的本地 PDF 分类与文本抽取库，可识别文本型、扫描型和混合文档，并保留版面、表格与阅读顺序转换为 Markdown；适合 RAG 入库、财报与论文解析、OCR 路由和浏览器端文档处理。
24,yc-software/qm,82642,上升4,企业 Agent / 多人协作工作台,MIT,QM 是面向组织的多人 Agent harness，为员工和频道提供隔离的记忆、文件、密钥视图、权限、定时任务与持久沙箱，并支持 Slack 和 Web；适合公司知识检索、内部应用生成、邮件运营、项目协作和后台自动化。
25,TencentCloud/TencentDB-Agent-Memory,82300,下降24,Agent 记忆 / 团队知识中枢,MIT,TencentDB Agent Memory 将会话、技能、文档 Wiki 与代码关系图沉淀为可审核、可授权、可跨 Agent 共享的记忆资产；适合长期运行的团队代理、跨会话项目协作、知识冷启动和企业级记忆治理。
26,firecrawl/anydoc,82129,上升3,文档解析 / 多格式转 Markdown,MIT,anydoc 是 Rust 编写的多格式文档转换库，可将 Word、PowerPoint、Excel、OpenDocument、RTF、EPUB、CSV 和 PDF 统一转成适合 LLM 的 Markdown，并提供 CLI、Agent Skill、Python、Node 与 WASM；适合 RAG 入库和办公文档批处理。
27,cloudflare/computer,81958,下降25,Agent 沙箱 / 持久执行环境,MIT,Cloudflare Computer 以 Durable Objects、SQLite 虚拟文件系统和可插拔容器或 Worker 运行时，为 Agent 提供持久工作区与统一执行入口；适合构建隔离式 coding agent、云端工具执行、原型沙箱和可恢复的长任务环境。
28,cloudflare/cloudflare-os,81787,上升3,企业 AI 工作台 / Agent 平台,Apache-2.0,Cloudflare OS 是企业 AI 生产力环境，提供带公司知识的 Agent 对话、沙箱化可生成应用，以及以 Gatekeeper 实施细粒度授权、审计和异步审批的安全框架；适合内部 AI 办公、个人应用生成和受控 Agent 接入企业系统。
29,lyogavin/airllm,81445,下降22,本地 LLM / 低内存推理,Apache-2.0,AirLLM 通过逐层装载、磁盘卸载和内存调度，让消费级 GPU 或有限内存设备运行超出单卡容量的大模型；适合本地 LLM 实验、离线助手、低成本推理和受限硬件上的模型可行性验证。
30,trycompai/crm,81103,持平,垂直 AI 应用 / 销售 CRM,MIT,Comp CRM 是面向 AI Agent 的开源客户关系管理系统，强调结构化客户数据、自动跟进和可被代理直接操作的销售工作流；适合初创团队管理线索、账户、沟通记录和构建销售自动化助手。
31,esengine/DeepSeek-Reasonix,80762,下降28,AI 编码助手 / Coding Agent Harness,MIT,Reasonix 是针对 DeepSeek 前缀缓存优化的终端 coding agent，以单个 Go 二进制提供配置驱动、多模型协作、MCP 与扩展插件；适合低成本长会话开发、仓库修改、工具调用和自定义编码代理工作流。
32,LiamGvchi/gc-minimal-zine-poster,80591,上升1,Agent Skills / 平面设计,MIT,gc-minimal-zine-poster 将极简杂志与海报的构图、排版、配色和输出规范封装为可复用 Agent Skill，帮助 coding agent 生成更有编辑设计感的视觉页面；适合活动海报、社媒物料、品牌视觉和 HTML 设计稿。
33,diegosouzapw/OmniRoute,80420,下降6,LLM 网关 / 路由与代理层,MIT,OmniRoute 将大量模型供应商统一到一个 API 入口，并为 Claude Code、Codex 等工具提供免费与低成本模型路由；适合多模型切换、故障回退、额度管理和开发环境统一接入。
34,FareedKhan-dev/kimi-k3-in-c,80249,持平,本地 LLM / C 语言推理引擎,Apache-2.0,kimi-k3-in-c 用可移植 C99 实现 Kimi K3 推理，通过磁盘流式读取、4 位专家权重和可调内存预算，让 2.78 万亿参数模型在低至 8GB 内存的 CPU 机器运行；适合超大 MoE 模型研究、边缘推理和底层性能实验。
35,virgiliojr94/book-to-skill,79565,上升7,Agent Skills / 文档知识转化,MIT,book-to-skill 将技术书籍 PDF 自动拆解并转换成 Claude Code 可调用的技能与参考资料，解决长文档难直接进入工作流的问题；适合技术学习、团队知识库、编码规范沉淀和边工作边查询。
36,titanwings/colleague-skill,78442,新上榜,Agent Skills / 知识蒸馏与 Skill 生成,MIT,colleague-skill 将人的经验、工作方法和隐性知识整理为可复用 Agent Skill，并面向 Claude Code、Codex、DeepSeek Harness 等生态输出；适合人员交接、专家经验沉淀、团队知识复用和构建可持续演进的技能库。
37,zhu1090093659/dsh-web-ui,78198,新上榜,AI 编码助手 / DSH Web UI 插件,未知 / 未声明,dsh-web-ui 是 DeepSeek Harness Web UI 的插件与皮肤集合，包含任务看板、Git 图、侧栏面板、远程移动端界面、实时 token 统计等；适合把 DSH 扩展为更完整的可视化 coding-agent 工作台。
38,ccch1mneyyy/dsh-TUI,78076,新上榜,AI 编码助手 / DSH 终端 TUI,BSD-3-Clause,dsh-TUI 为 DeepSeek Harness 提供 Claude Code 风格的全屏交互终端，包含流式思考、实时状态、双 Esc 回滚、上下文进度与 TPS 仪表；适合偏好 CLI 的开发者在终端中操作和观察 DSH coding agent。
39,whiteguo233/OpenBiliClaw,77709,新上榜,AI 内容发现 / 跨平台推荐 Agent,MIT,OpenBiliClaw 是本地优先的跨平台 AI 内容发现 Agent，会先建立用户偏好，再主动从 B站、小红书、抖音、YouTube、X、知乎、Reddit、微博和开放 Web 搜索内容；适合个人信息流、内容研究与隐私优先的智能推荐。
40,Anionex/agent-vision-toolkit,77465,新上榜,多模态 / Agent 视觉工具箱,MIT,agent-vision-toolkit 为纯文本 LLM 提供视觉工具与 Skill，支持多图理解、图片问答、长截图 OCR、前端 UI 还原和 GUI 自动化，并可接入 Codex、Claude Code、Pi、OpenCode；适合给现有 coding agent 补充“看图”能力。
41,liustack/modlens,77343,新上榜,多模态 / Agent 视觉与 OCR,MIT,modlens 是 DeepSeek Harness 及文本型 coding agent 的视觉桥接插件，可把粘贴图片转成包含 OCR、布局与语义信息的结构化 JSON 证据；适合 UI 调试、截图理解、文档识别和需要可复核视觉证据的 Agent 流程。
42,omdsh-dev/DSH-better-sidebar,77221,新上榜,AI 编码助手 / DSH 工作台插件,MIT,DSH-better-sidebar 把 DeepSeek Harness 侧边栏扩展成可注册第三方 Tab 的完整工作台，并内置文件查看编辑、终端、Git 和子代理入口；适合在一个界面集中处理代码、文件、版本控制和多 Agent 开发。
