排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
1,NousResearch/hermes-agent,124200,持平,通用 AI Agent / 自主执行框架,Apache-2.0,hermes-agent 面向通用自主 agent 与多步骤执行，重点解决把规划、工具调用和连续执行串起来的问题，适合用于研究代理、自动化助手和长链路任务系统。
2,anthropics/claude-code,123400,上升1,AI 编码助手 / Claude Code 能力增强,MIT,claude-code 面向AI 编码与仓库级工程协作，重点解决让模型理解仓库上下文并稳定修改、测试和重构代码的问题，适合用于日常开发、代码修复、测试补全和研发提效。
3,anthropics/skills,122600,上升1,AI 工具与技能清单,未知 / 未声明,skills 面向agent 技能库与工具能力沉淀，重点解决把常见任务模式、工具用法和执行规范标准化的问题，适合用于团队技能库、提示模板沉淀和 agent 能力扩展。
4,obra/superpowers,121800,上升1,AI 编码助手 / Claude Code 能力增强,MIT,superpowers 面向Claude Code 工程流程增强，重点解决把需求澄清、实现、测试和评审固化成更可靠的流程的问题，适合用于多人协作、重构、复杂开发任务和编码规范沉淀。
5,forrestchang/andrej-karpathy-skills,121000,下降3,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,andrej-karpathy-skills 面向Claude Code 行为约束与编码技能增强，重点解决减少 AI 编码中的上下文丢失、冒进修改和流程随机性的问题，适合用于为项目配置 CLAUDE.md、提升 coding agent 稳定性。
6,shanraisshan/claude-code-best-practice,120200,上升1,AI 编码助手 / Claude Code 能力增强,MIT,claude-code-best-practice 面向Claude Code 最佳实践与工程流程沉淀，重点解决解决团队使用 AI 编码工具时方法不统一、效果不稳定的问题的问题，适合用于团队培训、项目规范和 AI 编码 SOP。
7,microsoft/markitdown,119400,下降1,文档解析 / PDF 与结构化抽取,MIT,markitdown 面向文档、PDF 与 Office 内容结构化，重点解决把复杂文件转换成模型可消费的 Markdown 或文本的问题，适合用于RAG 数据准备、文档问答和资料抽取。
8,HKUDS/RAG-Anything,118600,新上榜,RAG / 知识库 / 文档解析,未知 / 未声明,RAG-Anything 面向多模态 RAG 与复杂文档理解，重点解决把图文、表格、结构化内容接入检索增强链路的问题，适合用于企业知识库、论文资料问答和多模态知识助手。
9,thedotmack/claude-mem,117800,持平,Agent 记忆 / 长上下文记忆,MIT,claude-mem 面向Claude Code 长期记忆与会话压缩，重点解决捕获编码会话历史并回注相关上下文的问题，适合用于长期项目维护、跨天开发和仓库级记忆。
10,google/mcp,117000,上升16,MCP Server / MCP 工具链,Apache-2.0,mcp 面向MCP 工具接入与上下文协议，重点解决让模型以标准方式连接工具、服务和外部系统的问题，适合用于企业工具层、上下文服务和 agent 集成。
11,ChromeDevTools/chrome-devtools-mcp,116200,上升11,MCP Server / MCP 工具链,Apache-2.0,chrome-devtools-mcp 面向浏览器调试能力接入 MCP，重点解决让 agent 读取页面状态、调试前端并操作 DevTools 能力的问题，适合用于Web agent、前端测试和浏览器自动化。
12,OpenBMB/VoxCPM,115400,下降2,语音 / TTS / STT,未知 / 未声明,VoxCPM 面向多语言 TTS 与语音克隆，重点解决降低自然语音生成、音色设计和配音成本的问题，适合用于语音助手、数字人配音和内容生产。
13,openai/openai-agents-python,114600,上升10,AI Agent / 工作流编排,MIT,openai-agents-python 面向Python 多 agent 工作流开发，重点解决把模型、工具和任务流程组织成可维护的执行系统的问题，适合用于业务自动化、研究代理和后端 agent 服务。
14,openai/openai-agents-js,113800,上升15,AI Agent / 工作流编排,MIT,openai-agents-js 面向JavaScript/TypeScript agent 开发，重点解决方便在 Web 与 Node 生态中构建工具调用和工作流 agent的问题，适合用于前端集成、云端 agent 和业务自动化。
15,microsoft/agent-lightning,113000,新上榜,AI Agent / 工作流编排,未知 / 未声明,agent-lightning 面向agent 训练、评测与强化学习框架，重点解决提升 agent 在真实任务中的学习和优化能力的问题，适合用于agent 研究、任务评测和生产级优化。
16,anomalyco/opencode,112200,上升8,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,opencode 面向开源 coding agent 与终端开发，重点解决让 AI 能围绕仓库执行代码修改、命令和验证的问题，适合用于本地编码助手、自动修复和开发流水线。
17,zilliztech/claude-context,111400,持平,Agent 记忆 / 长上下文记忆,未知 / 未声明,claude-context 面向Claude 上下文检索和代码库记忆，重点解决把仓库与历史上下文转成可检索记忆，减少重复解释的问题，适合用于大型代码库问答、持续编码和项目知识回注。
18,bytedance/deer-flow,110600,下降5,AI 工作流 / Agent 编排,MIT,deer-flow 面向多步骤 agent 流程编排，重点解决让研究、检索、生成和校验更可追踪、可复用的问题，适合用于自动研究、内容处理和内部流程自动化。
19,firecrawl/firecrawl,109800,下降5,Agent 抓取 / 外部信息收集,AGPL-3.0,firecrawl 面向网页抓取与 LLM 数据抽取，重点解决把网页内容转成适合模型消费的结构化数据的问题，适合用于RAG 数据建设、竞品监控和情报采集。
20,virattt/ai-hedge-fund,109000,下降8,量化 / 金融 AI 代理,MIT,ai-hedge-fund 面向金融研究与投资 agent 团队，重点解决把资讯、指标和多角色分析串成自动化投研流程的问题，适合用于投研助手、策略实验和市场情报汇总。
21,multica-ai/multica,108200,下降6,AI Agent / 工作流编排,未知 / 未声明,multica 面向托管式 agent 协作平台，重点解决把 coding agent 变成可分派、可追踪、可积累技能的团队成员的问题，适合用于研发协作、任务分派和 agent 管理。
22,HKUDS/DeepTutor,107400,下降14,AI Agent / 工作流编排,未知 / 未声明,DeepTutor 面向个性化教学 agent，重点解决把学习路径、答疑、练习和反馈组织成 agent-native 流程的问题，适合用于教育助手、自适应学习和课程辅导。
23,vercel-labs/open-agents,106600,下降3,AI Agent / 工作流编排,未知 / 未声明,open-agents 面向云端 agent 应用模板，重点解决降低构建、部署和运行 Web agent 的门槛的问题，适合用于云端助手、任务自动化和产品原型。
24,vercel-labs/agent-browser,105800,新上榜,浏览器自动化 / Web Agent,未知 / 未声明,agent-browser 面向浏览器驱动的 agent 执行环境，重点解决让模型在真实网页中读取、点击和完成操作的问题，适合用于网页自动化、表单处理和浏览器助手。
25,alibaba/page-agent,105000,新上榜,浏览器自动化 / Web Agent,未知 / 未声明,page-agent 面向页面理解与 Web agent 操作，重点解决解决模型只理解页面但难稳定操作的问题的问题，适合用于网页任务执行、前端自动化和业务流程机器人。
26,google/magika,104200,下降8,视觉 / OCR / 多模态,Apache-2.0,magika 面向AI 文件类型识别与内容理解，重点解决自动识别文件内容类型，减少人工分类和规则维护的问题，适合用于安全检测、文件处理和多模态管线。
27,Tencent/WeKnora,103400,上升1,RAG / 知识库 / 文档解析,未知 / 未声明,WeKnora 面向企业知识库与检索增强问答，重点解决让模型基于真实资料回答，降低幻觉和知识接入门槛的问题，适合用于企业问答、FAQ 和内部知识助手。
28,yichuan-w/LEANN,102600,新上榜,RAG / 知识库 / 文档解析,未知 / 未声明,LEANN 面向轻量向量检索与知识索引，重点解决降低大规模知识检索的存储和部署成本的问题，适合用于本地 RAG、知识库检索和轻量搜索应用。
