排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
1,affaan-m/everything-claude-code,236441.0,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,这是一个面向 Claude Code、Codex、OpenCode 等 AI 编码工具的“全套工程增强层”。适合团队把技能、命令、记忆、规则和安全检查统一沉淀到同一套仓库里，解决代理写代码时规范不一致、上下文丢失和流程难复用的问题。可用于标准化研发流程、沉淀通用 skills、提升多代理协作和长周期开发稳定性。
2,openclaw/openclaw,211917.0,新上榜,自托管 AI 助手 / 本地代理,MIT,这是一个可自托管的个人 AI 助手平台，强调在自己的设备和账户体系中长期运行。适合做个人助理、消息聚合、自动回复、跨应用任务执行等场景，解决“助手分散在多个聊天工具、数据不在自己控制下”的问题。可连接多种沟通渠道和模型能力，把日常问答、提醒、信息收集和轻量自动化集中到一个入口。
3,obra/superpowers,187759.0,新上榜,AI 编码助手 / Claude Code 能力增强,MIT,这是一个围绕 Claude Code 的工程增强项目，重点不是单次生成代码，而是让 AI 更像一个能长期协作的开发成员。适合个人开发者和小团队把模板、命令、记忆、最佳实践封装起来，解决 AI 编码时“会写但不稳、能做但不成体系”的问题。可用于提升代码生成的一致性、减少重复提示词、加快日常开发和重构效率。
4,FujiwaraChoki/MoneyPrinterV2,129636.0,新上榜,AI 自动化流程 / 内容或任务流水线,AGPL-3.0,这是一个偏内容自动化生产的 AI 流水线项目，适合做短视频、营销素材、社媒内容和批量内容生成。它解决的问题是“内容创意、文案、素材、配音、成片流程过于分散且人工成本高”。适合运营、自媒体和增长团队快速搭建自动化内容工厂，把选题、脚本、生成和发布前处理串起来。
5,karpathy/autoresearch,124577.0,新上榜,AI 工作流 / Agent 编排,未知 / 未声明,这是一个面向自动研究与信息整理的 Agent 工作流项目。适合做资料搜集、主题研究、竞品分析、背景调查等任务，解决“人工查资料耗时长、上下文容易断、结论难复现”的问题。它更像一个研究助手骨架，可以把检索、阅读、总结、迭代提问串成连续流程，适合知识工作者和研发团队使用。
6,ultraworkers/claw-code,119678.0,新上榜,AI 工作流 / Agent 编排,未知 / 未声明,这是一个把 AI 代理能力用于代码任务执行和流程编排的项目。适合处理多步骤开发任务、自动执行命令、拆解任务和串联开发动作，解决单轮代码生成难以覆盖完整交付流程的问题。适合想把“提需求→拆任务→执行→验证”做成流水线的个人开发者和自动化团队。
7,koala73/worldmonitor,84155.0,新上榜,AI 基础设施 / 运行与平台层,NOASSERTION,这是一个偏监控与持续追踪的信息代理系统，适合长期观察市场动态、公共事件、项目变化或外部情报。它解决的是“重要信息变化频繁，但人工持续盯盘成本很高”的问题。可用于做主题监控、定期摘要、变化提醒和趋势跟踪，适合研究、运营、投资和安全分析等场景。
8,msitarzewski/agency-agents,66204.0,新上榜,通用 AI Agent / 自主执行框架,MIT,这是一个通用型多 Agent 框架，目标是让多个代理分工协作完成复杂任务。适合做任务拆解、角色协同、工具调用和长链路执行，解决单个 Agent 上下文有限、能力单一的问题。对于想构建“研究员、执行者、审查者”这类分工体系的团队，它可以作为多代理实验和生产化的起点。
9,garrytan/gstack,59534.0,新上榜,AI 工作流 / Agent 编排,未知 / 未声明,这是一个把 Agent、工具和上下文管理组合成完整栈的项目。适合想快速搭建 AI 工作流平台的人，把模型、记忆、任务和工具接入统一起来，解决组件分散和流程难维护的问题。可用于内部效率工具、运营自动化、轻量业务 Agent 和跨工具编排场景。
10,78/xiaozhi-esp32,50665.0,新上榜,AIoT / 智能硬件,MIT,这是一个将 AI 能力引入 ESP32 等轻量硬件设备的项目，适合做语音交互终端、桌面智能硬件、边缘助手和低成本物联网设备。它解决的问题是“传统硬件交互方式有限，难以自然接入大模型能力”。适合开发语音助手、小型机器人、家庭控制面板和教育类智能设备。
11,gsd-build/get-shit-done,48032.0,新上榜,AI 自动化流程 / 内容或任务流水线,MIT,这是一个强调任务执行与效率落地的 AI 自动化项目，适合把复杂但重复的业务任务做成自动流程。它解决的问题是“很多知识型任务并不复杂，但重复、琐碎且跨多个工具”。可用于任务清单执行、资料整理、批量操作、内容生成和轻量运营自动化。
12,paperclipai/paperclip,42534.0,新上榜,AI 自动化流程 / 内容或任务流水线,MIT,这是一个偏向工作流自动化与 AI 执行能力封装的项目。适合需要把模型输出接入业务动作的人，例如自动整理资料、处理文档、执行规则化任务。它解决的是“模型有能力但无法顺畅接到真实工作流程”的问题，适合内部工具和自动化助手场景。
13,Crosstalk-Solutions/project-nomad,41290.0,新上榜,自托管 AI 助手 / 本地代理,MIT,这是一个偏自托管部署的 AI 助手或本地智能工作台项目，强调在私有环境中运行。适合重视数据控制、需要本地部署或希望接入内部系统的团队，解决 SaaS 助手难以满足隐私与可控性的痛点。可用于内部问答、知识助手、自动处理任务和本地实验平台。
14,VoltAgent/awesome-openclaw-skills,41231.0,新上榜,AI 工具与技能清单,未知 / 未声明,这是一个围绕 OpenClaw 技能生态的资源合集，适合快速了解有哪些 skill 可以复用，以及不同自动化场景该如何拆分能力。它解决的问题是“想做自动化，但不知道现成积木有哪些、如何组合”。对搭建内部代理系统的人来说，它更像一个开箱即用的经验目录和案例入口。
15,moeru-ai/airi,35388.0,新上榜,数字人 / 陪伴型 AI,AGPL-3.0,这是一个偏人格化和陪伴式交互的 AI 项目，适合做虚拟角色、陪伴助手、长期对话和具有设定感的数字人。它解决的是普通问答机器人缺少持续人格、互动体验单薄的问题。适用于二次元陪伴、数字角色运营、直播互动、虚拟伴侣和趣味型对话产品。
16,bytedance/deer-flow,32744.0,新上榜,AI 工作流 / Agent 编排,MIT,这是一个面向复杂 AI 执行流程的工作流项目，适合将多步任务拆分成稳定、可复用的流程节点。它解决的问题是模型在长链路任务中容易失控、缺乏可观测性和步骤管理。可用于自动研究、内容处理、审批式流程和内部流程自动化。
17,volcengine/OpenViking,32190.0,新上榜,Agent 记忆 / 长上下文记忆,Apache-2.0,这是一个面向 Agent 长期记忆与上下文管理的项目，适合让 AI 在多轮、多天甚至长期任务中记住历史信息。它解决的问题是模型天然短记忆、会忘记上下文和用户偏好。适合做长期助理、客户交互系统、持续项目协作和带历史任务状态的代理系统。
18,VoltAgent/awesome-design-md,31452.0,新上榜,面向 AI 编码的设计系统 / UI 规范,未知 / 未声明,这是一个收集设计规范、设计文档与 AI 设计协作实践的资源库。适合在“设计稿→组件→代码”之间建立统一表达，解决设计和开发协作中标准不一致的问题。对使用 AI 参与设计产出或前端开发的人来说，它能帮助快速沉淀设计语言和实现规范。
19,firecrawl/firecrawl,31438.0,新上榜,Agent 抓取 / 外部信息收集,AGPL-3.0,这是一个专门为 LLM 和 Agent 场景优化的数据抓取与网页抽取项目。适合做网页内容采集、知识库构建、RAG 数据准备和自动研究，解决普通爬虫输出不适合模型消费的问题。它能把网页转成更干净、更适合后续总结、检索和问答使用的数据结构。
20,microsoft/VibeVoice,28876.0,新上榜,AI 语音 / 语音生成与识别,MIT,这是一个聚焦语音生成或语音交互体验的项目，适合做语音助手、陪聊、内容配音和可听化产品。它解决的是文本交互不够自然、人工配音成本高、语音风格难控制的问题。适合构建语音对话系统、数字人配音和多风格语音输出场景。
21,anthropics/skills,28514.0,新上榜,Agent 技能包 / Prompt 与工具集合,未知 / 未声明,这是一个面向 AI 助手的技能集合仓库，适合把常见任务模式、工具使用方法和执行规则沉淀成复用组件。它解决的问题是每次都从零写 prompt 和流程，难以复制优秀做法。适合构建团队技能库、标准化常见任务和快速扩展代理能力边界。
